month,year,know_auto_pct,phys_auto_pct,unemployment_rate,total_pop_m,employed_m,unemployed_m,total_income_bn,total_consumption_bn,total_human_svc_bn,total_auto_goods_bn,total_wealth_bn,total_debt_bn,aggregate_mpc,human_svc_share,gini,enterprise_revenue_bn,yeomen_share,platform_share,yeomen_alive_pct,firms_alive,firms_dead,mpc_transitional,mpc_knowledge_high_exposure,mpc_creative_craft,mpc_physical_high_exposure,mpc_knowledge_low_exposure,mpc_small_business_owner,mpc_non_labour,mpc_skilled_physical,mpc_care_low_exposure
0,2026.0,4.1274371677764705,0.7296955775676787,0.19213682807641125,117.05200000000039,94.56200000000022,22.490000000000165,5.823483581695813,5.140116688974268,0.8883593195370351,4.251757369437245,32.033530982881324,3.8634106131057675,0.882653246440072,0.17282862886023526,0.4173711953442364,34531.8016400862,0.0021538118562888005,0.0777208814166151,100.0,2162555.0,0.0,0.8823786565274127,0.8178137711502628,0.8526301669122218,0.8751362129999926,0.804037502257901,0.7910038332135925,0.9926701122379409,0.8126837841172677,0.8429610924289243
1,2026.0833333333333,4.550668429627892,0.7994039205838297,0.19213682807641125,117.05200000000039,94.56200000000022,22.490000000000165,5.823483581695813,5.141007503246703,0.8884585259837401,4.252548977262943,32.004068423331596,3.796234657869444,0.8828062157512993,0.1728179788538825,0.4173711953442364,34531.8016400862,0.0021538118562888005,0.0777208814166151,100.0,2162555.0,0.0,0.8829446704943121,0.8181919908597297,0.8530646914859723,0.8753223046573647,0.8044683848439279,0.7909958283319136,0.9924764675589275,0.813202130871424,0.842729638252483
2,2026.1666666666667,4.987382852534705,0.8706084491343845,0.19213682807641125,117.05200000000039,94.56200000000022,22.490000000000165,5.823483581695813,5.141880417783524,0.8885477432097316,4.253332674573787,31.976178830605576,3.730377002386264,0.8829561113463628,0.17280599139113234,0.4173711953442364,34531.8016400862,0.0021538118562888005,0.0777208814166151,100.0,2162555.0,0.0,0.883156181724357,0.818564494481399,0.8534965570203661,0.8753780211810863,0.8048976035115829,0.7907702930700304,0.9922875436247638,0.8137170022989532,0.843170885652922
3,2026.25,5.437837772188538,0.9433378416176015,0.19231452687694442,117.05200000000039,94.54120000000022,22.510800000000174,5.820635462237891,5.140758252856405,0.888205052295476,4.252553200560935,31.949823353628748,3.6658763043500517,0.883195363497289,0.17277705128459497,0.41708634389463695,34531.8016400862,0.0021538118562888005,0.0777208814166151,100.0,2162555.0,0.0,0.8833630443390933,0.8189225836692982,0.853917362613098,0.8756432485751268,0.8052703406514952,0.7909674942222091,0.9920946899220409,0.8142585074709644,0.8439047631551919
4,2026.3333333333333,5.902282369572123,1.0176211698845503,0.19231452687694442,117.05200000000039,94.54120000000022,22.510800000000174,5.820635462237891,5.141788147567744,0.8883083981425518,4.253479749425186,31.925009780390514,3.602688965543919,0.8833723020322687,0.1727625434281563,0.41708634389463695,34531.8016400862,0.0021538118562888005,0.0777208814166151,100.0,2162555.0,0.0,0.8835641474151051,0.819283324728889,0.8539090649784423,0.8758144415408199,0.8056960595950696,0.7911757915294696,0.9919149380939873,0.8147661488285379,0.8443419124216802
5,2026.4166666666667,6.380956504907316,1.0934878972198703,0.19258107507774405,117.05200000000039,94.51000000000022,22.542000000000172,5.820947462237891,5.1427892454710955,0.8883257868005333,4.2544634586705525,31.901659437965396,3.5407142996200216,0.8834969356507343,0.1727322945584094,0.4169885620224947,34531.8016400862,0.0021538118562888005,0.0777208814166151,100.0,2162555.0,0.0,0.8854317188403156,0.8198027139734266,0.85432273231926,0.8760960976149015,0.8061071164516659,0.7913748451063662,0.9910356996830414,0.8153977645317996,0.8447641716132926
6,2026.5,6.874089503995469,1.1709678758781075,0.19265215459795726,117.05200000000039,94.50168000000022,22.55032000000017,5.8205774370259,5.143179815510567,0.8882442325396466,4.2549355829709254,31.879845501015065,3.4800366337841364,0.8836202028330958,0.1727033205918487,0.4172179694515459,34429.45545973385,0.0021538118562888005,0.0777208814166151,100.0,1982555.0,180000.0,0.8856185106213701,0.8191395366262785,0.8531906939012388,0.8762520586439613,0.8066883641921646,0.7915957919717119,0.9912014617057514,0.8158945505945253,0.8451931224677096
7,2026.5833333333333,7.381898899844905,1.250091344154876,0.1927232341181705,117.05200000000039,94.49336000000022,22.558640000000167,5.820074746242367,5.14316566333323,0.8882453702296094,4.254920293103619,31.85945480883395,3.4205264792439682,0.8836940911547273,0.17270401701467794,0.4173855024927794,34429.45545973385,0.0021538118562888005,0.0777208814166151,100.0,1982555.0,180000.0,0.8858065737140833,0.8194463999998016,0.8536129474946592,0.8761340248160068,0.807104719055709,0.7918189283095126,0.9908967815452702,0.8159156552877331,0.8459010193262018
8,2026.6666666666667,7.904589133104076,1.3308889229716805,0.1927587738782771,117.05200000000039,94.48920000000022,22.562800000000166,5.820066473969496,5.143841382033176,0.8883312562535735,4.25551012577961,31.84048711179825,3.362205572763286,0.8838114487247238,0.17269802668418363,0.4174042851265284,34429.45545973385,0.0021538118562888005,0.0777208814166151,100.0,1982555.0,180000.0,0.8859897802036055,0.8197836813453842,0.854057515296353,0.8759328059893037,0.8075207352303936,0.7920457250912109,0.990738851147211,0.8164080697098632,0.8460365487966774
9,2026.75,8.442350215476095,1.4133916119526913,0.19286539315859694,117.05200000000039,94.47672000000023,22.575280000000163,5.81981905030114,5.145115613659801,0.8884846344322324,4.256630979227564,31.822608950421145,3.30481607036699,0.884067970015936,0.17268506699312813,0.4175660945257297,34429.45545973385,0.0021538118562888005,0.0777208814166151,100.0,1982555.0,180000.0,0.8861648860463816,0.8200986263265787,0.8505744945350165,0.8760703737505443,0.807931163674068,0.7922709977562851,0.9909193075687952,0.8168934442326602,0.846365235654446
